"id_externo","titulo","url","marca","modelo","ano","km","preco","cidade","estado","vendedor_tipo","telefone","whatsapp","regiao_busca"
"1507950629","Toyota Corolla Cross XRX 2.0 16V Flex Aut. 2026","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-cross-xrx-2-0-16v-flex-aut-2026-1507950629","Toyota","Corolla Cross",2026,30131,173480.0,"Recife","PE","desconhecido","","","Recife"
"1496071177","Nissan Sentra Advance 2.0 16V Aut. 2025","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/nissan-sentra-advance-2-0-16v-aut-2025-1496071177","Nissan","Sentra",2025,34391,112480.0,"Recife","PE","desconhecido","","","Recife"
"1515369653","Nissan Kicks Exclusive 1.6 16V Flex AUT 2022","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/nissan-kicks-exclusive-1-6-16v-flex-aut-2022-1515369653","Nissan","Kicks",2022,62621,87480.0,"Recife","PE","desconhecido","","","Recife"
"1531400587","Chevrolet Tracker Premier 1.2 Turbo 12V Flex AUT 2021","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-tracker-premier-1-2-turbo-12v-flex-aut-2021-1531400587","Chevrolet","Tracker",2021,51200,95990.0,"Recife","PE","desconhecido","","","Recife"
"1525837096","Jeep Compass Long. T270 1.3 TB 4X2 Flex AUT 2025","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-long-t270-1-3-tb-4x2-flex-aut-2025-1525837096","Jeep","Compass",2025,29000,145990.0,"Recife","PE","desconhecido","","","Recife"
"1530511829","Jaecoo 7 / J7 Elite 1.5 TB 16V Aut. 5p (híbrido) 2027","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/jaecoo-7-j7-elite-1-5-tb-16v-aut-5p-hibrido-2027-1530511829","Jaecoo","7",2027,500,289900.0,"Recife","PE","desconhecido","","","Recife"
"1526350965","Hyundai HB20 Diamond 1.0 TB Flex 12V AUT 2022","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-diamond-1-0-tb-flex-12v-aut-2022-1526350965","Hyundai","HB20",2022,43666,78890.0,"Recife","PE","desconhecido","","","Recife"
"1526372749","Land Rover Defender 110 TDI SW Diesel 1996","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/land-rover-defender-110-tdi-sw-diesel-1996-1526372749","Land Rover","Defender",1996,138000,139000.0,"Recife","PE","desconhecido","","","Recife"
"1527025044","Ford KA 1.0 Se/se Plus Tivct Flex 5P 2021","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-1-0-se-se-plus-tivct-flex-5p-2021-1527025044","Ford","Ka",2021,120000,49990.0,"Recife","PE","desconhecido","","","Recife"
"1527059221","BYD Yuan Plus Elétrico 2025","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/byd-yuan-plus-eletrico-2025-1527059221","BYD","Yuan Plus",2025,33000,189990.0,"Recife","PE","desconhecido","","","Recife"
